nmi_flags                                  00000009   
Objects_Zpos_L                             00000439   
player2_Zpos_L                             0000043A   
object_3_Zpos_L                            0000043B   
Objects_X_sub                              00000448   
Objects_Y_sub                              00000457   
Objects_Z_sub                              00000466   
object3_Z_sub                              00000468   
Objects_Z_floor                            00000475   
player2_Z_floor                            00000476   
Objects_X_shadow                           00000484   
player2_X_shadow                           00000485   
object3_X_shadow                           00000486   
Objects_Y_shad                             00000493   
player2_Y_shadow                           00000494   
object3_Y_shadow                           00000495   
Objects_Flags                              000004A2   
player2_flags                              000004A3   
Objects_state                              000004B1   
player2_state                              000004B2   
Objects_Z_speed                            000004C0   
player2_Z_speed                            000004C1   
object3_Z_speed                            000004C2   
Objects_unk1                               000004CF   
object2_unk1                               000004D1   
Objects_unk_cnt2                           000004DE   
Objects_unk2                               000004ED   
Objects_HitID                              000004FC   
player2_HitID                              000004FD   
Objects_Hit_timer                          0000050B   
Objects_Life                               0000051A   
player2_Life                               0000051B   
Objects_Linker_ID                          00000529   
player2_Linker2_ID                         0000052A   
Objects_LinkedObj_ID                       00000538   
Obj_anims_timer                            00000547   
pl2_anims_timer                            00000548   
Objects_dir                                00000556   
player2_dir                                00000557   
Objects_X_speed                            00000565   
player2_X_speed                            00000566   
object_2_X_speed                           00000567   
Objects_death_timer                        00000574   
pl2_death_timer                            00000575   
objects_some_anim                          00000583   
object2_some_anim                          00000585   
Objects_TargetID                           00000592   
player2_TargetID                           00000593   
Objects_various_flags                      000005A1   
players_obj_unk3                           000005B0   
player1_endLvL_timer                       000005B2   
player2_endLvL_timer                       000005B3   
players_obj_unk5                           000005B4   
players_obj_unk6                           000005B6   
players_obj_unk7                           000005B8   
players_obj_unk8                           000005BA   
players_obj_unk9                           000005BD   
players_obj_unk10                          000005BF   
players_obj_unk11                          000005C1   
players_obj_unk12                          000005C3   
players_obj_unk13                          000005C5   
players_obj_unk14                          000005C7   
player2_obj_unk14                          000005C8   
players_obj_unk15                          000005C9   
players_obj_unk16                          000005CE   
player2_obj_unk16                          000005CF   
players_obj_unk17                          000005D0   
Scores_tmp                                 000005EF   
Score_Player1_100k                         000005F4   
Score_Player1_10k                          000005F5   
Score_Player1_1k                           000005F6   
Score_Player1_100                          000005F7   
Score_Player1_10                           000005F8   
Score_Player1_1                            000005F9   
Score_Player2                              000005FA   
ram_code                                   00000782   
ram_code_adrL                              00000796   
ram_code_adrH                              00000797   
PPU_CTRL_REG1                              00002000   
PPU_CTRL_REG2                              00002001   
PPU_STATUS                                 00002002   
PPU_SPR_ADDR                               00002003   
PPU_SPR_DATA                               00002004   
PPU_SCROLL_REG                             00002005   
PPU_ADDRESS                                00002006   
PPU_DATA                                   00002007   
SND_SQUARE1_REG                            00004000   
pAPU_Pulse1_Ramp_Control_Reg               00004001   
pAPU_Pulse1_(FT)_Reg                       00004002   
pAPU_Pulse1_(CT)_Reg                       00004003   
SND_SQUARE2_REG                            00004004   
pAPU_Pulse2_Ramp_Control_Reg               00004005   
pAPU_Pulse2_(FT)_Reg                       00004006   
pAPU_Pulse2_(CT)_Reg                       00004007   
SND_TRIANGLE_REG                           00004008   
pAPU_Triangle_Control_Reg2                 00004009   
pAPU_Triangle_Frequency_Reg1               0000400A   
pAPU_Triangle_Frequency_Reg2               0000400B   
SND_NOISE_REG                              0000400C   
Unused                                     0000400D   
pAPU_Noise_Frequency_Reg1                  0000400E   
pAPU_Noise_Frequency_Reg2                  0000400F   
SND_DELTA_REG                              00004010   
pAPU_Delta_Modulation_DA_Reg               00004011   
pAPU_Delta_Modulation_Address_Reg          00004012   
pAPU_Delta_Modulation_Data_Length_Reg      00004013   
SPR_DMA                                    00004014   
SND_MASTERCTRL_REG                         00004015   
JOYPAD_PORT1                               00004016   
JOYPAD_PORT2                               00004017   
RESET_0                                    000082A9   
RESET__                                    000082AB   
call_game_end                              0000831C   
set_game_end                               00008326   
set_level_music                            0000837E   
set_music_by_level_id                      00008380   
set_music_track                            00008383   
Level_MusicID                              00008394   
level_nextframe                            000083A4   
pause_snd_dat                              000083F3   
game_level_cycle                           00008403   
update_c8_cb                               000084C7   
some_sounds                                000084E1   
levels_3_and_6_scroll?                     0000853A   
restart_on_bike_chk                        00008566   
some_with_ppu                              000085B5   
level_flag_xz7                             000086B9   
update_frame_counters                      00008705   
random_cycle                               0000871F   
change_random_values                       00008728   
random                                     00008743   
level_backg_scroll                         00008757   
clear_ram                                  0000876B   
level_camera_moving                        000087A3   
objects_functions                          000087C2   
launch_obj_code                            000088EC   
object_dragon                              0000898B   
test_checkpoint_pos                        00008D01   
joypads_reading                            00008D78   
object_dmg_hit                             0000913A   
object_level1_boss_noga                    00009150   
object_level1_boss_dead                    00009200   
object_level1_boss_dmg_spr                 0000923E   
object_level1_boss_turrets                 00009252   
object_level1_boss                         0000930A   
object_level1_boss_bullet                  00009396   
object_tall_walker                         0000944E   
object_dead_raven                          000095EB   
object_raven_large                         00009643   
object_raven                               000096AE   
object_invader                             000099D3   
object_flying_life_bar                     00009A9C   
obj_code_ptrs                              00009B8A   
objects_unk_dat1                           00009C8A   
objects_unk_dat2                           00009D09   
objects_unk_dat3                           00009D87   
level_flag_xz6                             00009E06   
can_make_game_end?                         00009E12   
mov_dir_table                              00009EAF   
Level_CanMove_Dir                          00009F0E   
Level_CarryObjSpeed                        00009F1C   
object_player                              00009FD8   
levels_flag_unk                            0000A01C   
write_obj_Hit_ID_                          0000A690   
write_pl_wanted_frame                      0000AD88   
object_default_frame                       0000ADA4   
level_flags_sit_and_xz                     0000ADC5   
object_delete?                             0000ADD7   
object_WARP                                0000ADE3   
object_level1_boss_ball                    0000AE9A   
object_tall_walker_head                    0000AF4B   
object_hodulya_palka                       0000AFB6   
object_rope                                0000B110   
copy_objects_XYZ_and_dir                   0000B167   
set_obj_dir_and_copy_obj_XYZ               0000B16A   
copy_objects_XYZ                           0000B16D   
copy_objects_XY                            0000B179   
copy_objects_Y                             0000B185   
object_bike                                0000B2E6   
object_set_palette                         0000B35B   
object_screen_light                        0000B3F7   
object_rat_race_palette_fade               0000B458   
object_infernorace_animation               0000B465   
object_muhi                                0000B4DF   
object_psyko_Pig_ambush                    0000B5F9   
object_fireball                            0000B63A   
object_turbo_tunnel_falling_obstacle       0000B69D   
object_checkpoint_part1                    0000B6BC   
object_turbo_tunnel_obstacle_up            0000B6D0   
object_turbo_tunnel_obstacle               0000B6D4   
object_checkpoint_part2                    0000B761   
reset_bikes_speed                          0000B81D   
stop_bikes_scroll                          0000B8D4   
object_turbo_tunnel_rat_rocket             0000B92D   
object_turbo_tunnel_fly_obstacle           0000B988   
object_turbo_tunnel_balls                  0000B9AE   
object_saturn_toadtrap                     0000B9C1   
object_electro_trap                        0000BB24   
object_raven_claw                          0000BC12   
objects_power_ups                          0000BC93   
add_scores                                 0000BCCF   
scores_table                               0000BD36   
object_retro_blaster                       0000BDAE   
object_hordhead                            0000BF0E   
object_inferno_race_electricity            0000C044   
object_level5_watermine_p1                 0000C0C7   
object_level7_fires                        0000C1B6   
object_level7_rockets                      0000C21A   
object_rocket_rat2_inferno                 0000C257   
object_shesterenka                         0000C31D   
object_water_hit                           0000C419   
object_robot                               0000C4C4   
object_utka                                0000C5E8   
object_electrofish                         0000C656   
object_hammerfish                          0000C71A   
object_shark                               0000C7CF   
object_verevka_s_propellerom               0000C88D   
object_terra_tubes_xz                      0000C8D4   
object_vodovorot                           0000C972   
load_PL_1_or_2                             0000C9ED   
object_brevno                              0000C9F9   
object_level5_watermine_p2                 0000CAA4   
object_electroball_phase2                  0000CB74   
object_big_blag                            0000CBE4   
object_general_slaughter                   0000CDB6   
object_robu_manus                          0000CE74   
rash_walk_frames                           0000CF90   
rash_walk_frames2                          0000CF98   
rash_move_UD_frames                        0000CFA4   
reset_some_vars                            0000D080   
object_last_lvl_flying                     0000D0A2   
object_palka_v_stene                       0000D11E   
object_last_lvl_head                       0000D1A6   
object_swellcheeks                         0000D1DA   
object_last_lvl_end                        0000D320   
object_angelica_ili_pimpl                  0000D33F   
config?_game_end                           0000D391   
continue_game_end_event                    0000D397   
object_dark_queen                          0000D39C   
level_planA_pic                            0000D5A6   
Level_ID_Table                             0000D5B7   
level_unk12                                0000D603   
object_electroball                         0000D6BD   
fill_sprite_buffer                         0000DAC0   
write_obj_Hit_ID                           0000DADD   
read_anim_seq_by_HitID                     0000DAFD   
read_anim_sequence                         0000DB04   
set_object_animation                       0000DB29   
obj_moves_code_ptr                         0000DB3A   
anim_write_X_speed                         0000DB68   
anim_write_X_speed_and_clear_unk1          0000DBEF   
anim_make_hit                              0000DC20   
delete_stick                               0000DDC4   
anim_set_flag_4                            0000DECC   
object_Psyko_Pig                           0000E206   
start_first_jump                           0000E4B4   
set_players_lifes                          0000E5E7   
some_with_sound                            0000E62A   
object_prujina                             0000E7DD   
object_level4_platform_mov_down            0000E872   
object_level4_moving_platform              0000E8C2   
object_platform_last_level                 0000E94F   
object_rotating_spike                      0000EAFD   
object_dead_robo_manus_ili_begushaya_krisa 0000EC16   
object_giblet                              0000EC95   
object_inferno_race_create                 0000EDBD   
object_turbo_tunnel_warning_sprite         0000EDFE   
object_elevator_platform                   0000EE2B   
object_snake                               0000EEC7   
object_snake_animation                     0000EECB   
object_snake_hide_head                     0000EED2   
object_snake_pit_unk                       0000EEDE   
object_sentry_drone                        0000EF45   
object_slizen                              0000EF7B   
object_gas_turret                          0000F042   
object_gas                                 0000F07C   
object_ventilyator                         0000F0E9   
object_veter                               0000F354   
object_ball_laucnh_hole                    0000F406   
object_ball                                0000F442   
object_l10_xz                              0000F4E3   
call_game_end_2                            0000F5F8   
object_retro_blaster_shoot                 0000F60B   
object_snowman                             0000F651   
object_ice_cube                            0000F794   
object_sosulka                             0000FA31   
object_snowball                            0000FAE1   
object_snow                                0000FC17   
object_level4_sosulka_kamennaya            0000FC1D   
object_level4_wall_moving                  0000FC36   
object_leve4_wall                          0000FC5A   
object_large_snowball                      0000FD2C   
object_level4_spike_moving                 0000FD8F   
object_level4_checkpoint                   0000FDB2   
object_restore_point                       0000FE03   
copy_xyz_from_rest_point                   0000FE42   
level_cfg_read                             0000FE51   
get_free_obj_slot_IDX                      0000FE58   
get_obj_slot_type_by_ID                    0000FE66   
search_object_6b                           0000FE6D   
IRQ_                                       0000FE74   
NMI__                                      0000FE75   
lagged_frame                               0000FE93   
not_a_level                                0000FEB3   
wait__0                                    0000FF65   
read_anims_dat                             0000FF6E   
jump_from_bank0                            0000FF84   
NMI_                                       0000FF98   
return_from_nmi                            0000FFA6   
jump_other_bank                            0000FFCB   
wait_                                      0000FFEB   
RESET_                                     0000FFF2   
unpack_objects_gfx                         000180A2   
set_vram_adr                               000180F5   
write_gfx                                  0001816B   
write_to_ppu                               00018201   
write_0_to_ppu_                            00018217   
obj_gfx_ptrs                               00018220   
level_end_gfx                              0001827F   
level_1_obj_gfx_                           00018294   
level2_obj_gfx                             000182B7   
turbo_tunnel_obj_gfx                       000182CA   
level4_gfx                                 000182D9   
level_1_boss_gfx                           000182F0   
level_1_boss_gfx_                          000182FB   
level_plan_gfx                             00018302   
base_obj_gfx2                              00018389   
base_obj_gfx                               000183AC   
level_end_gfx_                             000183BF   
planA_spr_blink                            00018568   
unknown_                                   00028024   
rash_gfx                                   00028030   
level_moving                               0002F23F   
bikes_camera_move                          0002F525   
level_flags_xz2                            0002F5C6   
players_gfx                                0002FDD6   
write_obj_wanted_frame                     0002FE22   
gfx_ptrs                                   0002FE53   
set_pcm_ptr                                0003855E   
play_pcm                                   0003856A   
play_pcm_cycle?                            000386D1   
random_                                    000387FA   
start_play_music                           0003880E   
some_sounds_                               00038A87   
music_info_tbl                             0003959E   
music_dat_ptrs                             000395B3   
hidden_track_p1                            0003B2C4   
hidden_track_p2                            0003B3D8   
hidden_track_p3                            0003B48B   
hidden_track_p4                            0003B507   
non_pl_obj_work                            0003CF28   
objects_work                               0003CF2A   
restart_on_bikes                           0003CF63   
restart_on_checkpoint                      0003D022   
levels_respawn_X                           0003D0B1   
levels_respawn_Y                           0003D0E7   
level_backgn_Y_pos                         0003D137   
background_vs_sprites_pos                  0003D144   
update_UI                                  0003D173   
unkn_loc1                                  0003D177   
get_slot_with_obj_42                       0003D1FC   
copy_player_coord                          0003D20A   
load_lvl_obj_config                        0003D235   
level_cfg_ptrl                             0003D247   
level_cfg_ptrh                             0003D255   
levels_sub_ptr                             0003D27F   
lvl_sub_ptl                                0003D2B7   
lvl_sub_pth                                0003D2BB   
level_config_reading                       0003D2C0   
level9_cfg                                 0003D392   
level9_checkp1                             0003D3B3   
level9_checkp2                             0003D437   
level9_checkp3                             0003D560   
level_unk_obj1                             0003D63D   
level_unk_obj2                             0003D648   
level_unk_obj3                             0003D653   
level_unk_obj4                             0003D65E   
level8_cfg                                 0003D669   
level8_checkp1                             0003D67F   
level8_checkp2                             0003D68A   
level8_checkp3                             0003D6D2   
level8_checkp4                             0003D6E8   
level8_checkp5                             0003D775   
level8_checkp6                             0003D780   
level8_checkp7                             0003D824   
level8_checkp8                             0003D82F   
level7_cfg                                 0003D8D3   
level7_checkp1                             0003D8F4   
level7_checkp2                             0003D941   
level7_checkp3                             0003DA07   
level10_cfg                                0003DB9F   
level11_cfg                                0003DBE2   
level11_check1                             0003DC03   
level11_check2                             0003DC7C   
level11_check3                             0003DCE3   
level11_check4                             0003DD7D   
level11_check5                             0003DDB6   
level11_check6                             0003DE50   
level12_cfg                                0003DE51   
level13_cfg                                0003E036   
read_anims_data                            0003E07A   
animations_ptrs                            0003E0A0   
udar_small_punch                           0003E12A   
udar_small_punch2                          0003E13F   
udar_uppercut                              0003E154   
move_podnyat                               0003E179   
move_podnyat2                              0003E18B   
move_brosok                                0003E19D   
move_brosok_shara_vpered                   0003E1C5   
udar_big_punch                             0003E1E3   
udar_big_punch_fast                        0003E211   
udar_big_uppercut_fast                     0003E22A   
udar_big_bad_foot_fast                     0003E23C   
udar_po_golove_fast                        0003E254   
udar_big_uppercut                          0003E266   
udar_big_uppercut2                         0003E27D   
udar_big_bad_foot                          0003E299   
udar_s_razbega                             0003E2C8   
move_yazik_s_verevki                       0003E311   
move_yazik                                 0003E32E   
udar_po_golove_palka?                      0003E34B   
udar_po_golove                             0003E365   
udar_po_golove_razmah                      0003E391   
udar_s_verevki                             0003E3B1   
udar_s_verevki_fast                        0003E3C6   
udar_s_verevki_fast2                       0003E3D9   
udar_nogami_s_verevki                      0003E3F1   
udar_s_verevki2                            0003E465   
ugar_girya                                 0003E48C   
move_jump_hit?                             0003E4E1   
udar_jump_hit2?                            0003E4EB   
move_jump_mini?                            0003E505   
udar_i_prijok                              0003E50E   
move_fear                                  0003E51A   
move_fear2                                 0003E524   
udar_small_foot                            0003E52E   
udar_golova?                               0003E53D   
move_golova?                               0003E54C   
udar_i_podkid?                             0003E558   
move_effect_ot_electro                     0003E5FD   
move_effect_ot_electro2                    0003E64D   
move_effect_ot_electro3                    0003E664   
udar_po_robotam                            0003E773   
move_veter                                 0003E784   
level1_cfg                                 0003E834   
level2_cfg                                 0003E9EE   
level3_cfg                                 0003ED1D   
level4_cfg                                 0003F2D5   
level4_checkp1                             0003F2F6   
level4_checkp2                             0003F338   
level4_checkp3                             0003F385   
level4_checkp4                             0003F3BC   
level4_checkp5                             0003F3FE   
level4_checkp6                             0003F440   
level4_checkp7                             0003F4DA   
level4_checkp8                             0003F55E   
level4_checkp9                             0003F60E   
level5_cfg                                 0003F60F   
level5_checkp1                             0003F630   
level5_checkp2                             0003F7A6   
level5_checkp3                             0003F91C   
level6_cfg                                 0003FAB4   
get_object_free_mem                        0003FF38   
unpack_backg_gfx?                          00048007   
turbo_tunnel_                              0004810B   
ice_caverns                                00048111   
surf_city_                                 0004811D   
turbo_tunnel                               0004ACFB   
surf_city                                  0004F404   
level3_map3                                0005801B   
level_backgnd_scroll                       0005836F   
level_map3                                 00058676   
level_maps_load                            00058705   
level_map2_ptrL                            0005873A   
level_map2_ptrH                            00058748   
level_map1_ptrL                            00058756   
level_map1_ptrH                            00058764   
level_map3_ptrL                            00058772   
level_map3_ptrH                            00058780   
intro_map3                                 0005878E   
intro_map2                                 000587CE   
intro_map1                                 000589AE   
level1_map3                                000589CE   
level1_map2                                00058C8E   
level1_map1                                00058F4E   
level2_map3                                00058F7E   
level2_map2                                0005913E   
level2_map1                                0005929E   
level3_map2                                000592BE   
level3_map1                                000594BE   
level12_map3                               000594DE   
level12_map2                               00059ADE   
level12_map1                               0005A14E   
level4_map3                                0005A1CE   
level4_map2                                0005AA8A   
level4_map1                                0005AE9A   
level7_map3                                0005AEF7   
level7_map2                                0005B047   
level7_map1                                0005B217   
watch_error?                               0005BBE0   
level_cfgmap_ptrL                          0005BDEA   
level_cfgmap_ptrH                          0005BDF6   
level1_map_cfg                             0005BE3D   
level3_map_cfg                             0005BFBD   
level7_map_cfg                             0005C07D   
level5_map_cfg                             0005C13D   
level8_map3                                0005C29D   
level8_map2                                0005C75C   
level8_map1                                0005CE3C   
level6_map2                                0005CECC   
level6_map1                                0005D1AC   
level11_map3                               0005D1EC   
level11_map2                               0005DC6C   
level11_map1                               0005E1FC   
terratubes_map3                            0005E25C   
terratubes_map2                            0005EEBC   
terratubes_map1                            0005F5DC   
level5_map3                                0005F65C   
level10_map3                               0005F91C   
obj_sprites_                               0006862F   
object_sprites                             0006863C   
object_sprites_cycle                       000686D5   
objects_second_pal                         000686EF   
object_sprites_                            0006870C   
object_sprites_cycle_                      0006870E   
hide_sprites_by_Y                          00068778   
level4_stick_bug                           000689F7   
objects_some_sprites                       00068C0A   
read_obj_anim                              00068CC9   
write_obj_sprites                          00068D03   
game_end_event_starter                     000691AC   
game_over_event                            000697C0   
first_load                                 0006A16D   
load_level_palettes                        0006A267   
levels_pals_ptr                            0006A281   
palette_chars                              0006A3DD   
unk1_ptr_L                                 0006AA58   
unk1_ptr_H                                 0006AA64   
continue_game_end                          0006ACB8   
rash_sprcfg_ptrH                           0006C532   
obj_sprcfg_ptrH                            0006C5B9   
rash_sprcfg_ptrL                           0006C6B5   
obj_sprcfg_ptrL                            0006C73C   
level_base_load                            0006D5BB   
level_infobar_colors                       0006D5E0   
level_values_load                          0006DAFC   
level_base_X_H                             0006DBA4   
level_base_X_L                             0006DBA5   
level_base_Y_H                             0006DBA6   
level_base_Y_L                             0006DBA7   
level_struct_id                            0006DBA8   
level_bg_pal_id                            0006DBA9   
level_obj_pal_id                           0006DBAA   
level_bg_gfx_id                            0006DBAB   
level_obj_gfx_id                           0006DBAC   
text_decompress                            0006E60F   
fill_sprite_buffer_                        0006FEB2   
clear_sprites                              0006FEBD   
table_multiple_7                           0007808A   
level_planp_ptr                            00078B6F   
gfx_copy_code                              00078CA3   
IRQ                                        0007FF3F P 
NMI                                        0007FF98 P 
RESET                                      0007FFF2 P 
